eval,best_cost,uncovered,redundancy,score
1,2303,0,0,2303.0000
100,635,0,0,635.0000
200,549,0,0,549.0000
300,549,0,0,549.0000
400,549,0,0,549.0000
500,544,0,0,544.0000
600,540,0,0,540.0000
700,538,0,0,538.0000
800,535,0,0,535.0000
900,535,0,0,535.0000
1000,535,0,0,535.0000
1100,535,0,0,535.0000
1200,476,0,0,476.0000
1300,476,0,0,476.0000
1400,476,0,0,476.0000
1500,476,0,0,476.0000
1600,476,0,0,476.0000
1700,476,0,0,476.0000
1800,476,0,0,476.0000
1900,446,0,0,446.0000
2000,446,0,0,446.0000
2100,446,0,0,446.0000
2200,446,0,0,446.0000
2300,446,0,0,446.0000
2400,446,0,0,446.0000
2500,446,0,0,446.0000
2600,442,0,0,442.0000
2700,442,0,0,442.0000
2800,441,0,0,441.0000
2900,441,0,0,441.0000
3000,441,0,0,441.0000
3100,441,0,0,441.0000
3200,441,0,0,441.0000
3300,441,0,0,441.0000
3400,441,0,0,441.0000
3500,441,0,0,441.0000
3600,441,0,0,441.0000
3700,441,0,0,441.0000
3800,441,0,0,441.0000
3900,441,0,0,441.0000
4000,441,0,0,441.0000
4100,441,0,0,441.0000
4200,441,0,0,441.0000
4300,441,0,0,441.0000
4400,441,0,0,441.0000
4500,441,0,0,441.0000
4600,441,0,0,441.0000
4700,441,0,0,441.0000
4800,441,0,0,441.0000
4900,441,0,0,441.0000
5000,441,0,0,441.0000
5100,441,0,0,441.0000
5200,441,0,0,441.0000
5300,441,0,0,441.0000
5400,441,0,0,441.0000
5500,441,0,0,441.0000
5600,441,0,0,441.0000
5700,441,0,0,441.0000
5800,441,0,0,441.0000
5900,441,0,0,441.0000
6000,441,0,0,441.0000
6100,441,0,0,441.0000
6200,441,0,0,441.0000
6300,441,0,0,441.0000
6400,441,0,0,441.0000
6500,441,0,0,441.0000
6600,441,0,0,441.0000
6700,441,0,0,441.0000
6800,441,0,0,441.0000
6900,441,0,0,441.0000
7000,441,0,0,441.0000
7100,441,0,0,441.0000
7200,441,0,0,441.0000
7300,441,0,0,441.0000
7400,441,0,0,441.0000
7500,441,0,0,441.0000
7600,441,0,0,441.0000
7700,441,0,0,441.0000
7800,441,0,0,441.0000
7900,441,0,0,441.0000
8000,441,0,0,441.0000
8100,441,0,0,441.0000
8200,441,0,0,441.0000
8300,441,0,0,441.0000
8400,441,0,0,441.0000
8500,441,0,0,441.0000
8600,441,0,0,441.0000
8700,441,0,0,441.0000
8800,441,0,0,441.0000
8900,441,0,0,441.0000
9000,441,0,0,441.0000
9100,441,0,0,441.0000
9200,441,0,0,441.0000
9300,441,0,0,441.0000
9400,441,0,0,441.0000
9500,441,0,0,441.0000
9600,441,0,0,441.0000
9700,441,0,0,441.0000
9800,441,0,0,441.0000
9900,441,0,0,441.0000
10000,441,0,0,441.0000
10100,441,0,0,441.0000
10200,441,0,0,441.0000
10300,441,0,0,441.0000
10400,441,0,0,441.0000
10500,441,0,0,441.0000
10600,441,0,0,441.0000
10700,441,0,0,441.0000
10800,441,0,0,441.0000
10900,441,0,0,441.0000
11000,441,0,0,441.0000
11100,441,0,0,441.0000
11200,441,0,0,441.0000
11300,441,0,0,441.0000
11400,441,0,0,441.0000
11500,441,0,0,441.0000
11600,441,0,0,441.0000
11700,441,0,0,441.0000
11800,441,0,0,441.0000
11900,441,0,0,441.0000
12000,441,0,0,441.0000
12100,441,0,0,441.0000
12200,441,0,0,441.0000
12300,441,0,0,441.0000
12400,441,0,0,441.0000
12500,441,0,0,441.0000
12600,441,0,0,441.0000
12700,441,0,0,441.0000
12800,441,0,0,441.0000
12900,441,0,0,441.0000
13000,441,0,0,441.0000
13100,441,0,0,441.0000
13200,441,0,0,441.0000
13300,441,0,0,441.0000
13400,441,0,0,441.0000
13500,441,0,0,441.0000
13600,441,0,0,441.0000
13700,441,0,0,441.0000
13800,441,0,0,441.0000
13900,441,0,0,441.0000
14000,441,0,0,441.0000
14100,441,0,0,441.0000
14200,441,0,0,441.0000
14300,441,0,0,441.0000
14400,441,0,0,441.0000
14500,441,0,0,441.0000
14600,441,0,0,441.0000
14700,441,0,0,441.0000
14800,441,0,0,441.0000
14900,441,0,0,441.0000
15000,441,0,0,441.0000
15100,441,0,0,441.0000
15200,441,0,0,441.0000
15300,441,0,0,441.0000
15400,441,0,0,441.0000
15500,441,0,0,441.0000
15600,441,0,0,441.0000
15700,441,0,0,441.0000
15800,441,0,0,441.0000
15900,441,0,0,441.0000
16000,441,0,0,441.0000
16100,441,0,0,441.0000
16200,441,0,0,441.0000
16300,441,0,0,441.0000
16400,441,0,0,441.0000
16500,441,0,0,441.0000
16600,441,0,0,441.0000
16700,441,0,0,441.0000
16800,441,0,0,441.0000
16900,441,0,0,441.0000
17000,441,0,0,441.0000
17100,441,0,0,441.0000
17200,441,0,0,441.0000
17300,441,0,0,441.0000
17400,441,0,0,441.0000
17500,441,0,0,441.0000
17600,441,0,0,441.0000
17700,441,0,0,441.0000
17800,441,0,0,441.0000
17900,441,0,0,441.0000
18000,441,0,0,441.0000
18100,441,0,0,441.0000
18200,441,0,0,441.0000
18300,441,0,0,441.0000
18400,441,0,0,441.0000
18500,441,0,0,441.0000
18600,441,0,0,441.0000
18700,441,0,0,441.0000
18800,441,0,0,441.0000
18900,441,0,0,441.0000
19000,441,0,0,441.0000
19100,441,0,0,441.0000
19200,441,0,0,441.0000
