eval,best_cost,uncovered,redundancy,score
1,2946,0,0,2946.0000
100,2365,0,0,2365.0000
200,1977,0,0,1977.0000
300,1728,0,0,1728.0000
400,1612,0,0,1612.0000
500,1484,0,0,1484.0000
600,1306,0,0,1306.0000
700,1179,0,0,1179.0000
800,1172,0,0,1172.0000
900,1023,0,0,1023.0000
1000,936,0,0,936.0000
1100,884,0,0,884.0000
1200,818,0,0,818.0000
1300,747,0,0,747.0000
1400,744,0,0,744.0000
1500,744,0,0,744.0000
1600,697,0,0,697.0000
1700,618,0,0,618.0000
1800,615,0,0,615.0000
1900,615,0,0,615.0000
2000,615,0,0,615.0000
2100,615,0,0,615.0000
2200,615,0,0,615.0000
2300,615,0,0,615.0000
2400,588,0,0,588.0000
2500,588,0,0,588.0000
2600,580,0,0,580.0000
2700,573,0,0,573.0000
2800,487,0,0,487.0000
2900,482,0,0,482.0000
3000,482,0,0,482.0000
3100,482,0,0,482.0000
3200,482,0,0,482.0000
3300,482,0,0,482.0000
3400,461,0,0,461.0000
3500,461,0,0,461.0000
3600,461,0,0,461.0000
3700,461,0,0,461.0000
3800,461,0,0,461.0000
3900,461,0,0,461.0000
4000,461,0,0,461.0000
4100,461,0,0,461.0000
4200,439,0,0,439.0000
4300,439,0,0,439.0000
4400,439,0,0,439.0000
4500,439,0,0,439.0000
4600,439,0,0,439.0000
4700,439,0,0,439.0000
4800,437,0,0,437.0000
4900,437,0,0,437.0000
5000,437,0,0,437.0000
5100,437,0,0,437.0000
5200,437,0,0,437.0000
5300,437,0,0,437.0000
5400,437,0,0,437.0000
5500,434,0,0,434.0000
5600,434,0,0,434.0000
5700,434,0,0,434.0000
5800,434,0,0,434.0000
5900,434,0,0,434.0000
6000,434,0,0,434.0000
6100,434,0,0,434.0000
6200,434,0,0,434.0000
6300,434,0,0,434.0000
6400,434,0,0,434.0000
6500,434,0,0,434.0000
6600,434,0,0,434.0000
6700,434,0,0,434.0000
6800,430,0,0,430.0000
6900,430,0,0,430.0000
7000,430,0,0,430.0000
7100,429,0,0,429.0000
7200,429,0,0,429.0000
7300,429,0,0,429.0000
7400,429,0,0,429.0000
7500,429,0,0,429.0000
7600,429,0,0,429.0000
7700,429,0,0,429.0000
7800,429,0,0,429.0000
7900,429,0,0,429.0000
8000,429,0,0,429.0000
8100,429,0,0,429.0000
8200,429,0,0,429.0000
8300,429,0,0,429.0000
8400,429,0,0,429.0000
8500,429,0,0,429.0000
8600,429,0,0,429.0000
8700,429,0,0,429.0000
8800,429,0,0,429.0000
8900,429,0,0,429.0000
9000,429,0,0,429.0000
9100,429,0,0,429.0000
