eval,best_cost,uncovered,redundancy,score
1,3332,0,0,3332.0000
100,2658,0,0,2658.0000
200,2015,0,0,2015.0000
300,1803,0,0,1803.0000
400,1400,0,0,1400.0000
500,1223,0,0,1223.0000
600,992,0,0,992.0000
700,945,0,0,945.0000
800,888,0,0,888.0000
900,888,0,0,888.0000
1000,817,0,0,817.0000
1100,817,0,0,817.0000
1200,807,0,0,807.0000
1300,765,0,0,765.0000
1400,765,0,0,765.0000
1500,761,0,0,761.0000
1600,718,0,0,718.0000
1700,718,0,0,718.0000
1800,718,0,0,718.0000
1900,718,0,0,718.0000
2000,652,0,0,652.0000
2100,652,0,0,652.0000
2200,652,0,0,652.0000
2300,629,0,0,629.0000
2400,629,0,0,629.0000
2500,587,0,0,587.0000
2600,587,0,0,587.0000
2700,587,0,0,587.0000
2800,587,0,0,587.0000
2900,581,0,0,581.0000
3000,576,0,0,576.0000
3100,576,0,0,576.0000
3200,576,0,0,576.0000
3300,566,0,0,566.0000
3400,566,0,0,566.0000
3500,566,0,0,566.0000
3600,566,0,0,566.0000
3700,566,0,0,566.0000
3800,566,0,0,566.0000
3900,566,0,0,566.0000
4000,566,0,0,566.0000
4100,566,0,0,566.0000
4200,566,0,0,566.0000
4300,566,0,0,566.0000
4400,566,0,0,566.0000
4500,566,0,0,566.0000
4600,566,0,0,566.0000
4700,566,0,0,566.0000
4800,566,0,0,566.0000
4900,566,0,0,566.0000
5000,566,0,0,566.0000
5100,566,0,0,566.0000
5200,566,0,0,566.0000
5300,566,0,0,566.0000
5400,566,0,0,566.0000
5500,566,0,0,566.0000
5600,566,0,0,566.0000
5700,566,0,0,566.0000
5800,566,0,0,566.0000
5900,566,0,0,566.0000
6000,529,0,0,529.0000
6100,529,0,0,529.0000
6200,529,0,0,529.0000
6300,529,0,0,529.0000
6400,529,0,0,529.0000
6500,529,0,0,529.0000
6600,529,0,0,529.0000
6700,529,0,0,529.0000
6800,529,0,0,529.0000
6900,529,0,0,529.0000
7000,529,0,0,529.0000
7100,529,0,0,529.0000
7200,529,0,0,529.0000
7300,529,0,0,529.0000
7400,529,0,0,529.0000
7500,529,0,0,529.0000
7600,529,0,0,529.0000
7700,529,0,0,529.0000
7800,529,0,0,529.0000
7900,529,0,0,529.0000
8000,529,0,0,529.0000
8100,529,0,0,529.0000
8200,529,0,0,529.0000
8300,529,0,0,529.0000
8400,529,0,0,529.0000
8500,529,0,0,529.0000
8600,529,0,0,529.0000
8700,529,0,0,529.0000
8800,529,0,0,529.0000
8900,529,0,0,529.0000
9000,529,0,0,529.0000
9100,529,0,0,529.0000
9200,529,0,0,529.0000
9300,529,0,0,529.0000
9400,529,0,0,529.0000
9500,529,0,0,529.0000
9600,529,0,0,529.0000
9700,529,0,0,529.0000
9800,529,0,0,529.0000
9900,529,0,0,529.0000
10000,529,0,0,529.0000
10100,529,0,0,529.0000
10200,529,0,0,529.0000
10300,529,0,0,529.0000
10400,529,0,0,529.0000
10500,529,0,0,529.0000
10600,529,0,0,529.0000
10700,529,0,0,529.0000
10800,529,0,0,529.0000
10900,529,0,0,529.0000
11000,529,0,0,529.0000
11100,529,0,0,529.0000
11200,529,0,0,529.0000
11300,529,0,0,529.0000
11400,529,0,0,529.0000
11500,529,0,0,529.0000
11600,529,0,0,529.0000
11700,529,0,0,529.0000
11800,529,0,0,529.0000
11900,529,0,0,529.0000
12000,529,0,0,529.0000
12100,529,0,0,529.0000
12200,529,0,0,529.0000
12300,529,0,0,529.0000
12400,529,0,0,529.0000
12500,529,0,0,529.0000
12600,529,0,0,529.0000
12700,529,0,0,529.0000
12800,529,0,0,529.0000
12900,529,0,0,529.0000
13000,529,0,0,529.0000
13100,529,0,0,529.0000
13200,529,0,0,529.0000
13300,529,0,0,529.0000
13400,529,0,0,529.0000
13500,529,0,0,529.0000
13600,529,0,0,529.0000
13700,529,0,0,529.0000
13800,529,0,0,529.0000
13900,529,0,0,529.0000
14000,529,0,0,529.0000
14100,529,0,0,529.0000
14200,529,0,0,529.0000
14300,529,0,0,529.0000
14400,529,0,0,529.0000
14500,529,0,0,529.0000
14600,529,0,0,529.0000
14700,529,0,0,529.0000
14800,529,0,0,529.0000
14900,529,0,0,529.0000
15000,529,0,0,529.0000
15100,529,0,0,529.0000
15200,529,0,0,529.0000
15300,529,0,0,529.0000
15400,529,0,0,529.0000
15500,529,0,0,529.0000
15600,529,0,0,529.0000
15700,529,0,0,529.0000
15800,529,0,0,529.0000
15900,529,0,0,529.0000
16000,529,0,0,529.0000
16100,529,0,0,529.0000
16200,529,0,0,529.0000
16300,529,0,0,529.0000
16400,529,0,0,529.0000
16500,529,0,0,529.0000
16600,529,0,0,529.0000
16700,529,0,0,529.0000
16800,529,0,0,529.0000
16900,529,0,0,529.0000
17000,529,0,0,529.0000
17100,529,0,0,529.0000
17200,529,0,0,529.0000
17300,529,0,0,529.0000
17400,529,0,0,529.0000
17500,529,0,0,529.0000
17600,529,0,0,529.0000
17700,529,0,0,529.0000
17800,529,0,0,529.0000
17900,529,0,0,529.0000
18000,529,0,0,529.0000
18100,529,0,0,529.0000
18200,529,0,0,529.0000
18300,529,0,0,529.0000
18400,529,0,0,529.0000
18500,529,0,0,529.0000
18600,529,0,0,529.0000
18700,529,0,0,529.0000
18800,529,0,0,529.0000
18900,529,0,0,529.0000
19000,529,0,0,529.0000
19100,529,0,0,529.0000
19200,529,0,0,529.0000
19300,529,0,0,529.0000
19400,529,0,0,529.0000
19500,529,0,0,529.0000
19600,529,0,0,529.0000
19700,529,0,0,529.0000
19800,529,0,0,529.0000
19900,529,0,0,529.0000
20000,529,0,0,529.0000
20100,529,0,0,529.0000
20200,529,0,0,529.0000
20300,529,0,0,529.0000
20400,529,0,0,529.0000
20500,529,0,0,529.0000
20600,529,0,0,529.0000
20700,529,0,0,529.0000
20800,529,0,0,529.0000
20900,529,0,0,529.0000
21000,529,0,0,529.0000
21100,529,0,0,529.0000
21200,529,0,0,529.0000
21300,529,0,0,529.0000
21400,529,0,0,529.0000
21500,529,0,0,529.0000
21600,529,0,0,529.0000
21700,529,0,0,529.0000
21800,529,0,0,529.0000
21900,529,0,0,529.0000
22000,529,0,0,529.0000
22100,529,0,0,529.0000
22200,529,0,0,529.0000
22300,529,0,0,529.0000
22400,529,0,0,529.0000
22500,529,0,0,529.0000
22600,529,0,0,529.0000
22700,529,0,0,529.0000
22800,529,0,0,529.0000
22900,529,0,0,529.0000
23000,529,0,0,529.0000
23100,529,0,0,529.0000
23200,529,0,0,529.0000
23300,529,0,0,529.0000
23400,529,0,0,529.0000
23500,529,0,0,529.0000
23600,529,0,0,529.0000
23700,529,0,0,529.0000
23800,529,0,0,529.0000
23900,529,0,0,529.0000
24000,529,0,0,529.0000
24100,529,0,0,529.0000
24200,529,0,0,529.0000
24300,529,0,0,529.0000
24400,529,0,0,529.0000
24500,529,0,0,529.0000
24600,529,0,0,529.0000
24700,529,0,0,529.0000
24800,529,0,0,529.0000
24900,529,0,0,529.0000
25000,529,0,0,529.0000
25100,529,0,0,529.0000
25200,529,0,0,529.0000
25300,529,0,0,529.0000
25400,529,0,0,529.0000
25500,529,0,0,529.0000
25600,529,0,0,529.0000
25700,529,0,0,529.0000
25800,529,0,0,529.0000
25900,529,0,0,529.0000
26000,529,0,0,529.0000
26100,529,0,0,529.0000
26200,529,0,0,529.0000
26300,529,0,0,529.0000
26400,529,0,0,529.0000
26500,529,0,0,529.0000
26600,529,0,0,529.0000
26700,529,0,0,529.0000
26800,529,0,0,529.0000
26900,529,0,0,529.0000
27000,529,0,0,529.0000
27100,529,0,0,529.0000
27200,529,0,0,529.0000
27300,529,0,0,529.0000
27400,529,0,0,529.0000
27500,529,0,0,529.0000
27600,529,0,0,529.0000
27700,529,0,0,529.0000
27800,529,0,0,529.0000
27900,529,0,0,529.0000
28000,529,0,0,529.0000
28100,529,0,0,529.0000
28200,529,0,0,529.0000
28300,529,0,0,529.0000
28400,529,0,0,529.0000
28500,529,0,0,529.0000
28600,529,0,0,529.0000
28700,529,0,0,529.0000
28800,529,0,0,529.0000
28900,529,0,0,529.0000
29000,529,0,0,529.0000
29100,529,0,0,529.0000
29200,529,0,0,529.0000
29300,529,0,0,529.0000
29400,529,0,0,529.0000
29500,529,0,0,529.0000
29600,529,0,0,529.0000
29700,529,0,0,529.0000
29800,529,0,0,529.0000
29900,529,0,0,529.0000
30000,529,0,0,529.0000
30100,529,0,0,529.0000
30200,529,0,0,529.0000
30300,529,0,0,529.0000
30400,529,0,0,529.0000
30500,529,0,0,529.0000
30600,529,0,0,529.0000
30700,529,0,0,529.0000
30800,529,0,0,529.0000
30900,529,0,0,529.0000
31000,529,0,0,529.0000
31100,529,0,0,529.0000
31200,529,0,0,529.0000
31300,529,0,0,529.0000
31400,529,0,0,529.0000
31500,529,0,0,529.0000
31600,529,0,0,529.0000
31700,529,0,0,529.0000
31800,529,0,0,529.0000
31900,529,0,0,529.0000
32000,529,0,0,529.0000
32100,529,0,0,529.0000
32200,529,0,0,529.0000
32300,529,0,0,529.0000
32400,529,0,0,529.0000
32500,529,0,0,529.0000
32600,529,0,0,529.0000
32700,529,0,0,529.0000
32800,529,0,0,529.0000
32900,529,0,0,529.0000
33000,529,0,0,529.0000
33100,529,0,0,529.0000
33200,529,0,0,529.0000
33300,529,0,0,529.0000
33400,529,0,0,529.0000
33500,529,0,0,529.0000
33600,529,0,0,529.0000
33700,529,0,0,529.0000
33800,529,0,0,529.0000
33900,529,0,0,529.0000
34000,529,0,0,529.0000
34100,529,0,0,529.0000
34200,529,0,0,529.0000
34300,529,0,0,529.0000
34400,529,0,0,529.0000
34500,529,0,0,529.0000
34600,529,0,0,529.0000
34700,529,0,0,529.0000
34800,529,0,0,529.0000
34900,529,0,0,529.0000
35000,529,0,0,529.0000
35100,529,0,0,529.0000
35200,529,0,0,529.0000
35300,529,0,0,529.0000
35400,529,0,0,529.0000
35500,529,0,0,529.0000
35600,529,0,0,529.0000
35700,529,0,0,529.0000
35800,529,0,0,529.0000
35900,529,0,0,529.0000
36000,529,0,0,529.0000
36100,529,0,0,529.0000
36200,529,0,0,529.0000
36300,529,0,0,529.0000
36400,529,0,0,529.0000
36500,529,0,0,529.0000
36600,529,0,0,529.0000
36700,529,0,0,529.0000
36800,529,0,0,529.0000
36900,529,0,0,529.0000
37000,529,0,0,529.0000
37100,529,0,0,529.0000
37200,529,0,0,529.0000
37300,529,0,0,529.0000
37400,529,0,0,529.0000
37500,529,0,0,529.0000
37600,529,0,0,529.0000
37700,529,0,0,529.0000
37800,529,0,0,529.0000
37900,529,0,0,529.0000
38000,529,0,0,529.0000
38100,529,0,0,529.0000
38200,529,0,0,529.0000
38300,529,0,0,529.0000
38400,529,0,0,529.0000
38500,529,0,0,529.0000
38600,529,0,0,529.0000
38700,529,0,0,529.0000
38800,529,0,0,529.0000
38900,529,0,0,529.0000
39000,529,0,0,529.0000
39100,529,0,0,529.0000
39200,529,0,0,529.0000
39300,529,0,0,529.0000
39400,529,0,0,529.0000
39500,529,0,0,529.0000
39600,529,0,0,529.0000
39700,529,0,0,529.0000
39800,529,0,0,529.0000
39900,529,0,0,529.0000
40000,529,0,0,529.0000
40100,529,0,0,529.0000
40200,529,0,0,529.0000
40300,529,0,0,529.0000
40400,529,0,0,529.0000
40500,529,0,0,529.0000
40600,529,0,0,529.0000
40700,529,0,0,529.0000
40800,529,0,0,529.0000
40900,529,0,0,529.0000
41000,529,0,0,529.0000
41100,529,0,0,529.0000
41200,529,0,0,529.0000
41300,529,0,0,529.0000
41400,529,0,0,529.0000
41500,529,0,0,529.0000
41600,529,0,0,529.0000
41700,529,0,0,529.0000
41800,529,0,0,529.0000
41900,529,0,0,529.0000
42000,529,0,0,529.0000
42100,529,0,0,529.0000
42200,529,0,0,529.0000
42300,529,0,0,529.0000
42400,529,0,0,529.0000
42500,529,0,0,529.0000
42600,529,0,0,529.0000
42700,529,0,0,529.0000
42800,529,0,0,529.0000
42900,529,0,0,529.0000
43000,529,0,0,529.0000
43100,529,0,0,529.0000
43200,529,0,0,529.0000
43300,529,0,0,529.0000
