eval,best_cost,uncovered,redundancy,score
1,3101,0,0,3101.0000
100,2640,0,0,2640.0000
200,2267,0,0,2267.0000
300,2054,0,0,2054.0000
400,2025,0,0,2025.0000
500,1697,0,0,1697.0000
600,1663,0,0,1663.0000
700,1443,0,0,1443.0000
800,1273,0,0,1273.0000
900,1202,0,0,1202.0000
1000,1051,0,0,1051.0000
1100,875,0,0,875.0000
1200,869,0,0,869.0000
1300,862,0,0,862.0000
1400,861,0,0,861.0000
1500,806,0,0,806.0000
1600,738,0,0,738.0000
1700,737,0,0,737.0000
1800,737,0,0,737.0000
1900,649,0,0,649.0000
2000,649,0,0,649.0000
2100,649,0,0,649.0000
2200,633,0,0,633.0000
2300,633,0,0,633.0000
2400,633,0,0,633.0000
2500,633,0,0,633.0000
2600,621,0,0,621.0000
2700,621,0,0,621.0000
2800,610,0,0,610.0000
2900,610,0,0,610.0000
3000,610,0,0,610.0000
3100,610,0,0,610.0000
3200,590,0,0,590.0000
3300,590,0,0,590.0000
3400,590,0,0,590.0000
3500,590,0,0,590.0000
3600,590,0,0,590.0000
3700,590,0,0,590.0000
3800,590,0,0,590.0000
3900,584,0,0,584.0000
4000,584,0,0,584.0000
4100,584,0,0,584.0000
4200,584,0,0,584.0000
4300,584,0,0,584.0000
4400,584,0,0,584.0000
4500,584,0,0,584.0000
4600,547,0,0,547.0000
4700,547,0,0,547.0000
4800,547,0,0,547.0000
4900,547,0,0,547.0000
5000,547,0,0,547.0000
5100,547,0,0,547.0000
5200,547,0,0,547.0000
5300,547,0,0,547.0000
5400,547,0,0,547.0000
5500,547,0,0,547.0000
5600,547,0,0,547.0000
5700,547,0,0,547.0000
5800,547,0,0,547.0000
5900,547,0,0,547.0000
6000,547,0,0,547.0000
6100,547,0,0,547.0000
6200,547,0,0,547.0000
6300,547,0,0,547.0000
6400,547,0,0,547.0000
6500,547,0,0,547.0000
6600,547,0,0,547.0000
6700,547,0,0,547.0000
6800,547,0,0,547.0000
6900,547,0,0,547.0000
7000,547,0,0,547.0000
7100,547,0,0,547.0000
7200,545,0,0,545.0000
7300,545,0,0,545.0000
7400,545,0,0,545.0000
7500,545,0,0,545.0000
7600,545,0,0,545.0000
7700,545,0,0,545.0000
7800,545,0,0,545.0000
7900,545,0,0,545.0000
8000,545,0,0,545.0000
8100,545,0,0,545.0000
8200,545,0,0,545.0000
8300,545,0,0,545.0000
8400,545,0,0,545.0000
8500,545,0,0,545.0000
8600,545,0,0,545.0000
8700,545,0,0,545.0000
