eval,best_cost,uncovered,redundancy,score
1,2382,0,0,2382.0000
100,1003,0,0,1003.0000
200,649,0,0,649.0000
300,570,0,0,570.0000
400,553,0,0,553.0000
500,553,0,0,553.0000
600,553,0,0,553.0000
700,553,0,0,553.0000
800,553,0,0,553.0000
900,553,0,0,553.0000
1000,553,0,0,553.0000
1100,544,0,0,544.0000
1200,544,0,0,544.0000
1300,544,0,0,544.0000
1400,544,0,0,544.0000
1500,544,0,0,544.0000
1600,544,0,0,544.0000
1700,544,0,0,544.0000
1800,544,0,0,544.0000
1900,544,0,0,544.0000
2000,544,0,0,544.0000
2100,544,0,0,544.0000
2200,544,0,0,544.0000
2300,544,0,0,544.0000
2400,544,0,0,544.0000
2500,544,0,0,544.0000
2600,544,0,0,544.0000
2700,535,0,0,535.0000
2800,535,0,0,535.0000
2900,535,0,0,535.0000
3000,535,0,0,535.0000
3100,535,0,0,535.0000
3200,535,0,0,535.0000
3300,535,0,0,535.0000
3400,535,0,0,535.0000
3500,535,0,0,535.0000
3600,535,0,0,535.0000
3700,535,0,0,535.0000
3800,535,0,0,535.0000
3900,535,0,0,535.0000
4000,535,0,0,535.0000
4100,535,0,0,535.0000
4200,535,0,0,535.0000
4300,535,0,0,535.0000
4400,535,0,0,535.0000
4500,535,0,0,535.0000
4600,535,0,0,535.0000
4700,535,0,0,535.0000
4800,535,0,0,535.0000
4900,535,0,0,535.0000
5000,535,0,0,535.0000
5100,535,0,0,535.0000
5200,535,0,0,535.0000
5300,535,0,0,535.0000
5400,535,0,0,535.0000
5500,535,0,0,535.0000
5600,535,0,0,535.0000
5700,535,0,0,535.0000
5800,535,0,0,535.0000
5900,535,0,0,535.0000
6000,535,0,0,535.0000
6100,535,0,0,535.0000
6200,535,0,0,535.0000
6300,535,0,0,535.0000
6400,535,0,0,535.0000
6500,535,0,0,535.0000
6600,535,0,0,535.0000
6700,535,0,0,535.0000
6800,535,0,0,535.0000
6900,535,0,0,535.0000
7000,535,0,0,535.0000
7100,535,0,0,535.0000
7200,535,0,0,535.0000
7300,535,0,0,535.0000
7400,535,0,0,535.0000
7500,535,0,0,535.0000
7600,535,0,0,535.0000
7700,535,0,0,535.0000
7800,535,0,0,535.0000
7900,535,0,0,535.0000
8000,535,0,0,535.0000
8100,535,0,0,535.0000
8200,535,0,0,535.0000
8300,535,0,0,535.0000
8400,535,0,0,535.0000
8500,535,0,0,535.0000
8600,535,0,0,535.0000
8700,535,0,0,535.0000
8800,535,0,0,535.0000
8900,535,0,0,535.0000
9000,535,0,0,535.0000
9100,535,0,0,535.0000
9200,535,0,0,535.0000
9300,535,0,0,535.0000
9400,535,0,0,535.0000
9500,535,0,0,535.0000
9600,535,0,0,535.0000
9700,535,0,0,535.0000
9800,535,0,0,535.0000
9900,535,0,0,535.0000
10000,535,0,0,535.0000
10100,535,0,0,535.0000
10200,535,0,0,535.0000
10300,535,0,0,535.0000
10400,535,0,0,535.0000
10500,535,0,0,535.0000
10600,535,0,0,535.0000
10700,535,0,0,535.0000
10800,535,0,0,535.0000
10900,535,0,0,535.0000
11000,535,0,0,535.0000
11100,535,0,0,535.0000
11200,535,0,0,535.0000
11300,535,0,0,535.0000
11400,535,0,0,535.0000
11500,535,0,0,535.0000
11600,535,0,0,535.0000
11700,535,0,0,535.0000
11800,535,0,0,535.0000
11900,535,0,0,535.0000
12000,535,0,0,535.0000
12100,535,0,0,535.0000
12200,535,0,0,535.0000
12300,535,0,0,535.0000
12400,535,0,0,535.0000
12500,535,0,0,535.0000
12600,535,0,0,535.0000
12700,535,0,0,535.0000
12800,535,0,0,535.0000
12900,535,0,0,535.0000
13000,535,0,0,535.0000
13100,535,0,0,535.0000
13200,535,0,0,535.0000
13300,535,0,0,535.0000
13400,535,0,0,535.0000
13500,535,0,0,535.0000
13600,535,0,0,535.0000
13700,535,0,0,535.0000
13800,535,0,0,535.0000
13900,535,0,0,535.0000
14000,535,0,0,535.0000
14100,535,0,0,535.0000
14200,535,0,0,535.0000
14300,535,0,0,535.0000
14400,535,0,0,535.0000
14500,535,0,0,535.0000
14600,535,0,0,535.0000
14700,535,0,0,535.0000
14800,535,0,0,535.0000
14900,535,0,0,535.0000
15000,535,0,0,535.0000
15100,535,0,0,535.0000
15200,535,0,0,535.0000
15300,535,0,0,535.0000
15400,535,0,0,535.0000
15500,535,0,0,535.0000
15600,535,0,0,535.0000
15700,535,0,0,535.0000
15800,535,0,0,535.0000
15900,535,0,0,535.0000
16000,535,0,0,535.0000
16100,535,0,0,535.0000
16200,535,0,0,535.0000
16300,535,0,0,535.0000
16400,535,0,0,535.0000
16500,535,0,0,535.0000
16600,535,0,0,535.0000
16700,535,0,0,535.0000
16800,535,0,0,535.0000
16900,535,0,0,535.0000
17000,535,0,0,535.0000
17100,535,0,0,535.0000
17200,535,0,0,535.0000
17300,535,0,0,535.0000
17400,535,0,0,535.0000
17500,535,0,0,535.0000
17600,535,0,0,535.0000
17700,535,0,0,535.0000
17800,535,0,0,535.0000
17900,535,0,0,535.0000
18000,535,0,0,535.0000
18100,535,0,0,535.0000
18200,535,0,0,535.0000
18300,535,0,0,535.0000
18400,535,0,0,535.0000
18500,535,0,0,535.0000
18600,535,0,0,535.0000
18700,535,0,0,535.0000
18800,535,0,0,535.0000
18900,535,0,0,535.0000
19000,535,0,0,535.0000
19100,535,0,0,535.0000
19200,535,0,0,535.0000
19300,535,0,0,535.0000
19400,535,0,0,535.0000
19500,535,0,0,535.0000
19600,535,0,0,535.0000
19700,535,0,0,535.0000
19800,535,0,0,535.0000
19900,535,0,0,535.0000
20000,535,0,0,535.0000
20100,535,0,0,535.0000
20200,535,0,0,535.0000
20300,535,0,0,535.0000
20400,535,0,0,535.0000
20500,535,0,0,535.0000
20600,535,0,0,535.0000
20700,535,0,0,535.0000
20800,535,0,0,535.0000
20900,535,0,0,535.0000
21000,535,0,0,535.0000
21100,535,0,0,535.0000
21200,535,0,0,535.0000
21300,535,0,0,535.0000
21400,534,0,0,534.0000
21500,534,0,0,534.0000
21600,534,0,0,534.0000
21700,534,0,0,534.0000
21800,534,0,0,534.0000
21900,534,0,0,534.0000
22000,534,0,0,534.0000
22100,534,0,0,534.0000
22200,534,0,0,534.0000
22300,534,0,0,534.0000
22400,534,0,0,534.0000
22500,534,0,0,534.0000
22600,534,0,0,534.0000
22700,534,0,0,534.0000
22800,534,0,0,534.0000
22900,534,0,0,534.0000
23000,534,0,0,534.0000
23100,534,0,0,534.0000
23200,534,0,0,534.0000
23300,534,0,0,534.0000
23400,534,0,0,534.0000
23500,534,0,0,534.0000
23600,534,0,0,534.0000
23700,534,0,0,534.0000
23800,534,0,0,534.0000
23900,534,0,0,534.0000
24000,534,0,0,534.0000
