eval,best_cost,uncovered,redundancy,score
1,3394,0,0,3394.0000
100,2466,0,0,2466.0000
200,2016,0,0,2016.0000
300,1973,0,0,1973.0000
400,1673,0,0,1673.0000
500,1556,0,0,1556.0000
600,1408,0,0,1408.0000
700,1408,0,0,1408.0000
800,1408,0,0,1408.0000
900,1324,0,0,1324.0000
1000,1270,0,0,1270.0000
1100,1171,0,0,1171.0000
1200,1111,0,0,1111.0000
1300,981,0,0,981.0000
1400,923,0,0,923.0000
1500,923,0,0,923.0000
1600,823,0,0,823.0000
1700,823,0,0,823.0000
1800,823,0,0,823.0000
1900,823,0,0,823.0000
2000,732,0,0,732.0000
2100,732,0,0,732.0000
2200,672,0,0,672.0000
2300,672,0,0,672.0000
2400,669,0,0,669.0000
2500,666,0,0,666.0000
2600,666,0,0,666.0000
2700,666,0,0,666.0000
2800,666,0,0,666.0000
2900,613,0,0,613.0000
3000,613,0,0,613.0000
3100,613,0,0,613.0000
3200,613,0,0,613.0000
3300,527,0,0,527.0000
3400,527,0,0,527.0000
3500,527,0,0,527.0000
3600,527,0,0,527.0000
3700,527,0,0,527.0000
3800,527,0,0,527.0000
3900,527,0,0,527.0000
4000,527,0,0,527.0000
4100,527,0,0,527.0000
4200,527,0,0,527.0000
4300,527,0,0,527.0000
4400,527,0,0,527.0000
4500,527,0,0,527.0000
4600,527,0,0,527.0000
4700,527,0,0,527.0000
4800,521,0,0,521.0000
4900,521,0,0,521.0000
5000,521,0,0,521.0000
5100,521,0,0,521.0000
5200,521,0,0,521.0000
5300,521,0,0,521.0000
5400,521,0,0,521.0000
5500,521,0,0,521.0000
5600,521,0,0,521.0000
5700,521,0,0,521.0000
5800,463,0,0,463.0000
5900,463,0,0,463.0000
6000,463,0,0,463.0000
6100,463,0,0,463.0000
6200,463,0,0,463.0000
6300,463,0,0,463.0000
6400,463,0,0,463.0000
6500,457,0,0,457.0000
6600,457,0,0,457.0000
6700,457,0,0,457.0000
6800,457,0,0,457.0000
6900,457,0,0,457.0000
7000,457,0,0,457.0000
7100,457,0,0,457.0000
7200,457,0,0,457.0000
7300,457,0,0,457.0000
7400,457,0,0,457.0000
7500,457,0,0,457.0000
7600,457,0,0,457.0000
7700,457,0,0,457.0000
7800,457,0,0,457.0000
7900,457,0,0,457.0000
8000,457,0,0,457.0000
8100,457,0,0,457.0000
8200,457,0,0,457.0000
8300,457,0,0,457.0000
8400,457,0,0,457.0000
8500,457,0,0,457.0000
8600,457,0,0,457.0000
8700,457,0,0,457.0000
8800,457,0,0,457.0000
8900,457,0,0,457.0000
9000,457,0,0,457.0000
9100,457,0,0,457.0000
9200,457,0,0,457.0000
9300,457,0,0,457.0000
9400,457,0,0,457.0000
9500,457,0,0,457.0000
9600,457,0,0,457.0000
9700,457,0,0,457.0000
9800,457,0,0,457.0000
9900,457,0,0,457.0000
10000,457,0,0,457.0000
10100,457,0,0,457.0000
10200,457,0,0,457.0000
10300,457,0,0,457.0000
10400,457,0,0,457.0000
10500,457,0,0,457.0000
10600,457,0,0,457.0000
10700,457,0,0,457.0000
10800,457,0,0,457.0000
10900,457,0,0,457.0000
11000,457,0,0,457.0000
11100,457,0,0,457.0000
11200,457,0,0,457.0000
11300,457,0,0,457.0000
11400,457,0,0,457.0000
11500,457,0,0,457.0000
11600,457,0,0,457.0000
11700,457,0,0,457.0000
11800,457,0,0,457.0000
