eval,best_cost,uncovered,redundancy,score
1,2381,0,0,2381.0000
100,916,0,0,916.0000
200,661,0,0,661.0000
300,550,0,0,550.0000
400,508,0,0,508.0000
500,508,0,0,508.0000
600,508,0,0,508.0000
700,442,0,0,442.0000
800,442,0,0,442.0000
900,442,0,0,442.0000
1000,442,0,0,442.0000
1100,442,0,0,442.0000
1200,442,0,0,442.0000
1300,438,0,0,438.0000
1400,438,0,0,438.0000
1500,438,0,0,438.0000
1600,438,0,0,438.0000
1700,438,0,0,438.0000
1800,438,0,0,438.0000
1900,438,0,0,438.0000
2000,438,0,0,438.0000
2100,438,0,0,438.0000
2200,438,0,0,438.0000
2300,438,0,0,438.0000
2400,438,0,0,438.0000
2500,438,0,0,438.0000
2600,438,0,0,438.0000
2700,438,0,0,438.0000
2800,438,0,0,438.0000
2900,438,0,0,438.0000
3000,438,0,0,438.0000
3100,438,0,0,438.0000
3200,437,0,0,437.0000
3300,437,0,0,437.0000
3400,437,0,0,437.0000
3500,437,0,0,437.0000
3600,437,0,0,437.0000
3700,437,0,0,437.0000
3800,437,0,0,437.0000
3900,437,0,0,437.0000
4000,437,0,0,437.0000
4100,437,0,0,437.0000
4200,437,0,0,437.0000
4300,437,0,0,437.0000
4400,437,0,0,437.0000
4500,436,0,0,436.0000
4600,436,0,0,436.0000
4700,436,0,0,436.0000
4800,436,0,0,436.0000
4900,436,0,0,436.0000
5000,436,0,0,436.0000
5100,436,0,0,436.0000
5200,436,0,0,436.0000
5300,436,0,0,436.0000
5400,436,0,0,436.0000
5500,436,0,0,436.0000
5600,436,0,0,436.0000
5700,436,0,0,436.0000
5800,436,0,0,436.0000
5900,436,0,0,436.0000
6000,436,0,0,436.0000
6100,436,0,0,436.0000
6200,436,0,0,436.0000
6300,436,0,0,436.0000
6400,436,0,0,436.0000
6500,436,0,0,436.0000
6600,436,0,0,436.0000
6700,436,0,0,436.0000
6800,436,0,0,436.0000
6900,436,0,0,436.0000
7000,436,0,0,436.0000
7100,436,0,0,436.0000
7200,436,0,0,436.0000
7300,436,0,0,436.0000
7400,435,0,0,435.0000
7500,435,0,0,435.0000
7600,435,0,0,435.0000
7700,435,0,0,435.0000
7800,435,0,0,435.0000
7900,435,0,0,435.0000
8000,435,0,0,435.0000
8100,435,0,0,435.0000
8200,435,0,0,435.0000
8300,435,0,0,435.0000
8400,435,0,0,435.0000
8500,435,0,0,435.0000
8600,435,0,0,435.0000
8700,435,0,0,435.0000
8800,435,0,0,435.0000
8900,435,0,0,435.0000
9000,435,0,0,435.0000
9100,435,0,0,435.0000
9200,435,0,0,435.0000
9300,435,0,0,435.0000
9400,435,0,0,435.0000
9500,435,0,0,435.0000
9600,435,0,0,435.0000
9700,435,0,0,435.0000
9800,435,0,0,435.0000
9900,435,0,0,435.0000
10000,435,0,0,435.0000
10100,435,0,0,435.0000
10200,435,0,0,435.0000
10300,435,0,0,435.0000
10400,435,0,0,435.0000
10500,435,0,0,435.0000
10600,435,0,0,435.0000
10700,435,0,0,435.0000
10800,435,0,0,435.0000
10900,435,0,0,435.0000
11000,435,0,0,435.0000
11100,435,0,0,435.0000
11200,435,0,0,435.0000
11300,435,0,0,435.0000
11400,435,0,0,435.0000
11500,435,0,0,435.0000
11600,435,0,0,435.0000
11700,435,0,0,435.0000
11800,435,0,0,435.0000
11900,435,0,0,435.0000
12000,435,0,0,435.0000
12100,435,0,0,435.0000
12200,435,0,0,435.0000
12300,435,0,0,435.0000
12400,435,0,0,435.0000
12500,435,0,0,435.0000
12600,435,0,0,435.0000
12700,435,0,0,435.0000
