eval,best_cost,uncovered,redundancy,score
1,3086,0,0,3086.0000
100,2739,0,0,2739.0000
200,2347,0,0,2347.0000
300,1752,0,0,1752.0000
400,1561,0,0,1561.0000
500,1551,0,0,1551.0000
600,1531,0,0,1531.0000
700,1425,0,0,1425.0000
800,1189,0,0,1189.0000
900,1175,0,0,1175.0000
1000,1070,0,0,1070.0000
1100,1026,0,0,1026.0000
1200,1021,0,0,1021.0000
1300,967,0,0,967.0000
1400,923,0,0,923.0000
1500,888,0,0,888.0000
1600,835,0,0,835.0000
1700,781,0,0,781.0000
1800,781,0,0,781.0000
1900,691,0,0,691.0000
2000,690,0,0,690.0000
2100,690,0,0,690.0000
2200,655,0,0,655.0000
2300,655,0,0,655.0000
2400,655,0,0,655.0000
2500,655,0,0,655.0000
2600,611,0,0,611.0000
2700,611,0,0,611.0000
2800,611,0,0,611.0000
2900,611,0,0,611.0000
3000,458,0,0,458.0000
3100,458,0,0,458.0000
3200,458,0,0,458.0000
3300,458,0,0,458.0000
3400,458,0,0,458.0000
3500,458,0,0,458.0000
3600,458,0,0,458.0000
3700,458,0,0,458.0000
3800,458,0,0,458.0000
3900,458,0,0,458.0000
4000,458,0,0,458.0000
4100,458,0,0,458.0000
4200,458,0,0,458.0000
4300,458,0,0,458.0000
4400,458,0,0,458.0000
4500,458,0,0,458.0000
4600,458,0,0,458.0000
4700,458,0,0,458.0000
4800,458,0,0,458.0000
4900,457,0,0,457.0000
5000,454,0,0,454.0000
5100,454,0,0,454.0000
5200,454,0,0,454.0000
5300,454,0,0,454.0000
5400,454,0,0,454.0000
5500,454,0,0,454.0000
5600,454,0,0,454.0000
5700,454,0,0,454.0000
5800,454,0,0,454.0000
5900,454,0,0,454.0000
6000,454,0,0,454.0000
6100,454,0,0,454.0000
6200,454,0,0,454.0000
6300,454,0,0,454.0000
6400,454,0,0,454.0000
6500,454,0,0,454.0000
6600,454,0,0,454.0000
6700,454,0,0,454.0000
6800,454,0,0,454.0000
6900,454,0,0,454.0000
