eval,best_cost,uncovered,redundancy,score
1,2937,0,0,2937.0000
100,2522,0,0,2522.0000
200,2263,0,0,2263.0000
300,2059,0,0,2059.0000
400,1723,0,0,1723.0000
500,1685,0,0,1685.0000
600,1406,0,0,1406.0000
700,1251,0,0,1251.0000
800,1081,0,0,1081.0000
900,887,0,0,887.0000
1000,801,0,0,801.0000
1100,740,0,0,740.0000
1200,740,0,0,740.0000
1300,661,0,0,661.0000
1400,654,0,0,654.0000
1500,611,0,0,611.0000
1600,604,0,0,604.0000
1700,586,0,0,586.0000
1800,586,0,0,586.0000
1900,529,0,0,529.0000
2000,523,0,0,523.0000
2100,523,0,0,523.0000
2200,523,0,0,523.0000
2300,523,0,0,523.0000
2400,507,0,0,507.0000
2500,507,0,0,507.0000
2600,507,0,0,507.0000
2700,507,0,0,507.0000
2800,507,0,0,507.0000
2900,507,0,0,507.0000
3000,507,0,0,507.0000
3100,507,0,0,507.0000
3200,507,0,0,507.0000
3300,507,0,0,507.0000
3400,503,0,0,503.0000
3500,503,0,0,503.0000
3600,503,0,0,503.0000
3700,503,0,0,503.0000
3800,502,0,0,502.0000
3900,502,0,0,502.0000
4000,502,0,0,502.0000
4100,441,0,0,441.0000
4200,441,0,0,441.0000
4300,441,0,0,441.0000
4400,441,0,0,441.0000
4500,441,0,0,441.0000
4600,441,0,0,441.0000
4700,441,0,0,441.0000
4800,441,0,0,441.0000
4900,441,0,0,441.0000
5000,441,0,0,441.0000
5100,441,0,0,441.0000
5200,441,0,0,441.0000
5300,441,0,0,441.0000
5400,441,0,0,441.0000
5500,441,0,0,441.0000
5600,441,0,0,441.0000
5700,441,0,0,441.0000
5800,441,0,0,441.0000
5900,441,0,0,441.0000
6000,441,0,0,441.0000
6100,441,0,0,441.0000
6200,441,0,0,441.0000
6300,441,0,0,441.0000
6400,441,0,0,441.0000
6500,441,0,0,441.0000
6600,441,0,0,441.0000
6700,441,0,0,441.0000
6800,441,0,0,441.0000
6900,441,0,0,441.0000
7000,441,0,0,441.0000
7100,441,0,0,441.0000
7200,441,0,0,441.0000
7300,441,0,0,441.0000
7400,441,0,0,441.0000
7500,441,0,0,441.0000
7600,441,0,0,441.0000
7700,441,0,0,441.0000
7800,441,0,0,441.0000
7900,441,0,0,441.0000
8000,441,0,0,441.0000
8100,441,0,0,441.0000
8200,441,0,0,441.0000
8300,441,0,0,441.0000
8400,441,0,0,441.0000
8500,441,0,0,441.0000
8600,441,0,0,441.0000
8700,441,0,0,441.0000
8800,441,0,0,441.0000
8900,441,0,0,441.0000
9000,441,0,0,441.0000
9100,441,0,0,441.0000
9200,441,0,0,441.0000
9300,441,0,0,441.0000
9400,441,0,0,441.0000
9500,441,0,0,441.0000
9600,441,0,0,441.0000
9700,441,0,0,441.0000
9800,441,0,0,441.0000
9900,441,0,0,441.0000
10000,441,0,0,441.0000
10100,441,0,0,441.0000
10200,441,0,0,441.0000
10300,441,0,0,441.0000
10400,441,0,0,441.0000
10500,441,0,0,441.0000
10600,441,0,0,441.0000
10700,441,0,0,441.0000
10800,441,0,0,441.0000
10900,441,0,0,441.0000
11000,441,0,0,441.0000
11100,441,0,0,441.0000
11200,441,0,0,441.0000
11300,441,0,0,441.0000
11400,441,0,0,441.0000
11500,441,0,0,441.0000
11600,441,0,0,441.0000
11700,441,0,0,441.0000
11800,441,0,0,441.0000
11900,441,0,0,441.0000
12000,441,0,0,441.0000
12100,441,0,0,441.0000
12200,441,0,0,441.0000
12300,441,0,0,441.0000
12400,441,0,0,441.0000
12500,441,0,0,441.0000
12600,441,0,0,441.0000
12700,441,0,0,441.0000
12800,441,0,0,441.0000
12900,441,0,0,441.0000
13000,441,0,0,441.0000
13100,441,0,0,441.0000
13200,441,0,0,441.0000
13300,441,0,0,441.0000
13400,441,0,0,441.0000
13500,441,0,0,441.0000
13600,441,0,0,441.0000
13700,441,0,0,441.0000
13800,441,0,0,441.0000
13900,438,0,0,438.0000
14000,438,0,0,438.0000
14100,438,0,0,438.0000
14200,438,0,0,438.0000
14300,438,0,0,438.0000
14400,438,0,0,438.0000
14500,438,0,0,438.0000
14600,438,0,0,438.0000
14700,438,0,0,438.0000
14800,438,0,0,438.0000
14900,438,0,0,438.0000
15000,438,0,0,438.0000
15100,438,0,0,438.0000
15200,438,0,0,438.0000
15300,437,0,0,437.0000
15400,437,0,0,437.0000
15500,437,0,0,437.0000
15600,437,0,0,437.0000
15700,437,0,0,437.0000
15800,437,0,0,437.0000
15900,437,0,0,437.0000
16000,437,0,0,437.0000
16100,437,0,0,437.0000
16200,437,0,0,437.0000
16300,437,0,0,437.0000
16400,437,0,0,437.0000
16500,437,0,0,437.0000
16600,437,0,0,437.0000
16700,437,0,0,437.0000
16800,437,0,0,437.0000
16900,437,0,0,437.0000
17000,437,0,0,437.0000
17100,437,0,0,437.0000
17200,437,0,0,437.0000
17300,437,0,0,437.0000
17400,437,0,0,437.0000
17500,437,0,0,437.0000
17600,437,0,0,437.0000
17700,437,0,0,437.0000
17800,437,0,0,437.0000
17900,437,0,0,437.0000
18000,437,0,0,437.0000
18100,437,0,0,437.0000
18200,437,0,0,437.0000
18300,437,0,0,437.0000
18400,437,0,0,437.0000
18500,437,0,0,437.0000
18600,437,0,0,437.0000
18700,437,0,0,437.0000
18800,437,0,0,437.0000
18900,437,0,0,437.0000
19000,437,0,0,437.0000
19100,437,0,0,437.0000
19200,437,0,0,437.0000
19300,437,0,0,437.0000
19400,437,0,0,437.0000
19500,437,0,0,437.0000
19600,437,0,0,437.0000
19700,437,0,0,437.0000
19800,437,0,0,437.0000
19900,437,0,0,437.0000
20000,437,0,0,437.0000
20100,437,0,0,437.0000
20200,437,0,0,437.0000
20300,437,0,0,437.0000
20400,437,0,0,437.0000
20500,437,0,0,437.0000
20600,437,0,0,437.0000
20700,437,0,0,437.0000
20800,437,0,0,437.0000
20900,437,0,0,437.0000
21000,437,0,0,437.0000
21100,437,0,0,437.0000
21200,437,0,0,437.0000
21300,437,0,0,437.0000
21400,437,0,0,437.0000
21500,437,0,0,437.0000
21600,437,0,0,437.0000
21700,437,0,0,437.0000
21800,437,0,0,437.0000
21900,437,0,0,437.0000
22000,437,0,0,437.0000
22100,437,0,0,437.0000
22200,437,0,0,437.0000
22300,437,0,0,437.0000
22400,437,0,0,437.0000
22500,437,0,0,437.0000
22600,437,0,0,437.0000
22700,437,0,0,437.0000
22800,437,0,0,437.0000
22900,437,0,0,437.0000
23000,437,0,0,437.0000
23100,437,0,0,437.0000
23200,437,0,0,437.0000
23300,437,0,0,437.0000
23400,437,0,0,437.0000
23500,437,0,0,437.0000
23600,437,0,0,437.0000
23700,437,0,0,437.0000
23800,437,0,0,437.0000
23900,437,0,0,437.0000
24000,437,0,0,437.0000
