eval,best_cost,uncovered,redundancy,score
1,2184,0,0,2184.0000
100,1087,0,0,1087.0000
200,577,0,0,577.0000
300,540,0,0,540.0000
400,530,0,0,530.0000
500,517,0,0,517.0000
600,517,0,0,517.0000
700,516,0,0,516.0000
800,516,0,0,516.0000
900,452,0,0,452.0000
1000,452,0,0,452.0000
1100,452,0,0,452.0000
1200,452,0,0,452.0000
1300,452,0,0,452.0000
1400,452,0,0,452.0000
1500,452,0,0,452.0000
1600,452,0,0,452.0000
1700,452,0,0,452.0000
1800,452,0,0,452.0000
1900,452,0,0,452.0000
2000,452,0,0,452.0000
2100,452,0,0,452.0000
2200,452,0,0,452.0000
2300,452,0,0,452.0000
2400,452,0,0,452.0000
2500,452,0,0,452.0000
2600,452,0,0,452.0000
2700,452,0,0,452.0000
2800,452,0,0,452.0000
2900,452,0,0,452.0000
3000,452,0,0,452.0000
3100,452,0,0,452.0000
3200,452,0,0,452.0000
3300,452,0,0,452.0000
3400,452,0,0,452.0000
3500,452,0,0,452.0000
3600,452,0,0,452.0000
3700,452,0,0,452.0000
3800,452,0,0,452.0000
3900,452,0,0,452.0000
4000,452,0,0,452.0000
4100,452,0,0,452.0000
4200,452,0,0,452.0000
4300,452,0,0,452.0000
4400,452,0,0,452.0000
4500,452,0,0,452.0000
4600,452,0,0,452.0000
4700,452,0,0,452.0000
4800,452,0,0,452.0000
4900,452,0,0,452.0000
5000,452,0,0,452.0000
5100,452,0,0,452.0000
5200,452,0,0,452.0000
5300,452,0,0,452.0000
5400,452,0,0,452.0000
5500,452,0,0,452.0000
5600,452,0,0,452.0000
5700,452,0,0,452.0000
5800,452,0,0,452.0000
5900,452,0,0,452.0000
6000,452,0,0,452.0000
6100,452,0,0,452.0000
6200,452,0,0,452.0000
6300,452,0,0,452.0000
6400,452,0,0,452.0000
6500,452,0,0,452.0000
6600,452,0,0,452.0000
6700,452,0,0,452.0000
6800,452,0,0,452.0000
6900,452,0,0,452.0000
7000,452,0,0,452.0000
7100,452,0,0,452.0000
7200,452,0,0,452.0000
7300,452,0,0,452.0000
7400,452,0,0,452.0000
7500,452,0,0,452.0000
7600,452,0,0,452.0000
7700,452,0,0,452.0000
7800,452,0,0,452.0000
7900,452,0,0,452.0000
8000,452,0,0,452.0000
8100,452,0,0,452.0000
8200,452,0,0,452.0000
8300,452,0,0,452.0000
8400,452,0,0,452.0000
8500,452,0,0,452.0000
8600,452,0,0,452.0000
8700,452,0,0,452.0000
8800,452,0,0,452.0000
8900,452,0,0,452.0000
9000,452,0,0,452.0000
9100,452,0,0,452.0000
9200,452,0,0,452.0000
9300,452,0,0,452.0000
9400,452,0,0,452.0000
9500,452,0,0,452.0000
9600,452,0,0,452.0000
9700,452,0,0,452.0000
9800,452,0,0,452.0000
9900,452,0,0,452.0000
10000,452,0,0,452.0000
10100,452,0,0,452.0000
10200,452,0,0,452.0000
10300,452,0,0,452.0000
10400,452,0,0,452.0000
10500,452,0,0,452.0000
10600,452,0,0,452.0000
10700,452,0,0,452.0000
10800,452,0,0,452.0000
10900,452,0,0,452.0000
11000,452,0,0,452.0000
11100,452,0,0,452.0000
