eval,best_cost,uncovered,redundancy,score
1,2432,0,0,2432.0000
100,872,0,0,872.0000
200,617,0,0,617.0000
300,487,0,0,487.0000
400,487,0,0,487.0000
500,487,0,0,487.0000
600,487,0,0,487.0000
700,486,0,0,486.0000
800,486,0,0,486.0000
900,486,0,0,486.0000
1000,486,0,0,486.0000
1100,486,0,0,486.0000
1200,486,0,0,486.0000
1300,486,0,0,486.0000
1400,486,0,0,486.0000
1500,486,0,0,486.0000
1600,486,0,0,486.0000
1700,486,0,0,486.0000
1800,486,0,0,486.0000
1900,486,0,0,486.0000
2000,486,0,0,486.0000
2100,486,0,0,486.0000
2200,486,0,0,486.0000
2300,486,0,0,486.0000
2400,486,0,0,486.0000
2500,486,0,0,486.0000
2600,486,0,0,486.0000
2700,486,0,0,486.0000
2800,486,0,0,486.0000
2900,486,0,0,486.0000
3000,486,0,0,486.0000
3100,486,0,0,486.0000
3200,486,0,0,486.0000
3300,486,0,0,486.0000
3400,486,0,0,486.0000
3500,486,0,0,486.0000
3600,486,0,0,486.0000
3700,486,0,0,486.0000
3800,486,0,0,486.0000
3900,486,0,0,486.0000
4000,486,0,0,486.0000
4100,486,0,0,486.0000
4200,486,0,0,486.0000
4300,486,0,0,486.0000
4400,486,0,0,486.0000
4500,486,0,0,486.0000
4600,486,0,0,486.0000
4700,486,0,0,486.0000
4800,486,0,0,486.0000
4900,486,0,0,486.0000
5000,486,0,0,486.0000
5100,486,0,0,486.0000
5200,486,0,0,486.0000
5300,486,0,0,486.0000
5400,486,0,0,486.0000
5500,486,0,0,486.0000
5600,486,0,0,486.0000
5700,486,0,0,486.0000
5800,486,0,0,486.0000
5900,486,0,0,486.0000
6000,486,0,0,486.0000
6100,486,0,0,486.0000
6200,446,0,0,446.0000
6300,446,0,0,446.0000
6400,446,0,0,446.0000
6500,446,0,0,446.0000
6600,446,0,0,446.0000
6700,446,0,0,446.0000
6800,446,0,0,446.0000
6900,446,0,0,446.0000
7000,446,0,0,446.0000
7100,446,0,0,446.0000
7200,446,0,0,446.0000
7300,446,0,0,446.0000
7400,446,0,0,446.0000
7500,446,0,0,446.0000
7600,446,0,0,446.0000
7700,446,0,0,446.0000
7800,446,0,0,446.0000
7900,446,0,0,446.0000
8000,446,0,0,446.0000
8100,446,0,0,446.0000
8200,446,0,0,446.0000
8300,446,0,0,446.0000
8400,446,0,0,446.0000
8500,446,0,0,446.0000
8600,446,0,0,446.0000
8700,446,0,0,446.0000
8800,446,0,0,446.0000
8900,446,0,0,446.0000
9000,446,0,0,446.0000
9100,446,0,0,446.0000
9200,446,0,0,446.0000
9300,446,0,0,446.0000
9400,446,0,0,446.0000
9500,446,0,0,446.0000
9600,446,0,0,446.0000
9700,446,0,0,446.0000
9800,446,0,0,446.0000
9900,446,0,0,446.0000
10000,446,0,0,446.0000
10100,446,0,0,446.0000
10200,446,0,0,446.0000
10300,446,0,0,446.0000
10400,446,0,0,446.0000
10500,446,0,0,446.0000
10600,446,0,0,446.0000
10700,446,0,0,446.0000
10800,446,0,0,446.0000
10900,446,0,0,446.0000
11000,446,0,0,446.0000
11100,446,0,0,446.0000
11200,446,0,0,446.0000
11300,446,0,0,446.0000
11400,446,0,0,446.0000
11500,446,0,0,446.0000
11600,446,0,0,446.0000
11700,446,0,0,446.0000
11800,446,0,0,446.0000
11900,446,0,0,446.0000
12000,446,0,0,446.0000
12100,446,0,0,446.0000
12200,446,0,0,446.0000
12300,446,0,0,446.0000
12400,446,0,0,446.0000
12500,446,0,0,446.0000
12600,446,0,0,446.0000
12700,446,0,0,446.0000
12800,446,0,0,446.0000
12900,446,0,0,446.0000
13000,446,0,0,446.0000
13100,446,0,0,446.0000
13200,446,0,0,446.0000
13300,446,0,0,446.0000
13400,446,0,0,446.0000
13500,446,0,0,446.0000
13600,446,0,0,446.0000
13700,446,0,0,446.0000
13800,446,0,0,446.0000
13900,446,0,0,446.0000
14000,446,0,0,446.0000
14100,446,0,0,446.0000
14200,446,0,0,446.0000
14300,446,0,0,446.0000
14400,446,0,0,446.0000
14500,446,0,0,446.0000
14600,446,0,0,446.0000
14700,446,0,0,446.0000
14800,446,0,0,446.0000
14900,446,0,0,446.0000
15000,446,0,0,446.0000
15100,446,0,0,446.0000
15200,446,0,0,446.0000
15300,446,0,0,446.0000
15400,446,0,0,446.0000
15500,446,0,0,446.0000
15600,446,0,0,446.0000
15700,446,0,0,446.0000
15800,446,0,0,446.0000
15900,446,0,0,446.0000
16000,446,0,0,446.0000
16100,446,0,0,446.0000
16200,446,0,0,446.0000
16300,446,0,0,446.0000
16400,446,0,0,446.0000
16500,446,0,0,446.0000
16600,446,0,0,446.0000
16700,446,0,0,446.0000
16800,446,0,0,446.0000
16900,446,0,0,446.0000
17000,446,0,0,446.0000
17100,446,0,0,446.0000
17200,446,0,0,446.0000
17300,446,0,0,446.0000
17400,446,0,0,446.0000
17500,446,0,0,446.0000
