eval,best_cost,uncovered,redundancy,score
1,2784,0,0,2784.0000
100,2342,0,0,2342.0000
200,2101,0,0,2101.0000
300,1789,0,0,1789.0000
400,1439,0,0,1439.0000
500,1433,0,0,1433.0000
600,1382,0,0,1382.0000
700,1204,0,0,1204.0000
800,1082,0,0,1082.0000
900,1004,0,0,1004.0000
1000,922,0,0,922.0000
1100,834,0,0,834.0000
1200,728,0,0,728.0000
1300,688,0,0,688.0000
1400,662,0,0,662.0000
1500,653,0,0,653.0000
1600,594,0,0,594.0000
1700,594,0,0,594.0000
1800,572,0,0,572.0000
1900,565,0,0,565.0000
2000,536,0,0,536.0000
2100,536,0,0,536.0000
2200,536,0,0,536.0000
2300,536,0,0,536.0000
2400,530,0,0,530.0000
2500,530,0,0,530.0000
2600,530,0,0,530.0000
2700,530,0,0,530.0000
2800,530,0,0,530.0000
2900,530,0,0,530.0000
3000,530,0,0,530.0000
3100,463,0,0,463.0000
3200,457,0,0,457.0000
3300,457,0,0,457.0000
3400,457,0,0,457.0000
3500,457,0,0,457.0000
3600,457,0,0,457.0000
3700,447,0,0,447.0000
3800,447,0,0,447.0000
3900,447,0,0,447.0000
4000,447,0,0,447.0000
4100,447,0,0,447.0000
4200,447,0,0,447.0000
4300,434,0,0,434.0000
4400,434,0,0,434.0000
4500,434,0,0,434.0000
4600,434,0,0,434.0000
4700,434,0,0,434.0000
4800,434,0,0,434.0000
4900,434,0,0,434.0000
5000,434,0,0,434.0000
5100,434,0,0,434.0000
5200,434,0,0,434.0000
5300,434,0,0,434.0000
5400,434,0,0,434.0000
5500,434,0,0,434.0000
5600,434,0,0,434.0000
5700,434,0,0,434.0000
5800,434,0,0,434.0000
5900,434,0,0,434.0000
6000,434,0,0,434.0000
6100,434,0,0,434.0000
6200,434,0,0,434.0000
6300,434,0,0,434.0000
6400,434,0,0,434.0000
6500,434,0,0,434.0000
6600,434,0,0,434.0000
6700,434,0,0,434.0000
6800,434,0,0,434.0000
6900,434,0,0,434.0000
7000,434,0,0,434.0000
7100,434,0,0,434.0000
7200,434,0,0,434.0000
7300,434,0,0,434.0000
7400,434,0,0,434.0000
7500,434,0,0,434.0000
